ANO_DOC;MES_DOC;GRUPO_ENTIDAD;GRUPO_ENTIDAD_NOMBRE;SEC_EJEC;EJECUTORA;EJECUTORA_NOMBRE;DEPARTAMENTO_EJECUTORA;DEPARTAMENTO_EJECUTORA_NOMBRE;PROVINCIA_EJECUTORA;PROVINCIA_EJECUTORA_NOMBRE;DISTRITO_EJECUTORA;DISTRITO_EJECUTORA_NOMBRE;FUENTE_FINANCIAMIENTO;FUENTE_FINANCIAMIENTO_NOMBRE;RUBRO;RUBRO_NOMBRE;TIPO_RECURSO;TIPO_RECURSO_NOMBRE;GENERICA;GENERICA_NOMBRE;SUBGENERICA;SUBGENERICA_NOMBRE;SUBGENERICA_DET;SUBGENERICA_DET_NOMBRE;ESPECIFICA;ESPECIFICA_NOMBRE;ESPECIFICA_DET;ESPECIFICA_DET_NOMBRE;MONTO_PIA;MONTO_PIM;MONTO_RECAUDADO
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;1;IMPUESTOS Y CONTRIBUCIONES OBLIGATORIAS;4;IMPUESTO SOBRE EL COMERCIO Y LAS TRANSACCIONES INTERNACIONALES;1;IMPUESTOS A LAS IMPORTACIONES;1;DERECHOS DE ADUANAS Y OTROS DERECHOS DE IMPORTACION;4;ARANCEL ESPECIAL POR INGRESO DE BIENES PROVENIENTES DE DEPOSITOS FRANCOS;9268555;9268555;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;1;VENTA DE BIENES;3;VENTA DE PRODUCTOS MINERALES;1;VENTA DE PRODUCTOS MINERALES;1;VENTA DE AGUA;92640;92640;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;2;DERECHOS Y TASAS ADMINISTRATIVOS;1;DERECHOS ADMINISTRATIVOS GENERALES;4;OTROS DERECHOS ADMINISTRATIVOS GENERALES;99;OTROS DERECHOS ADMINISTRATIVOS GENERALES;11060;11060;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;2;DERECHOS Y TASAS ADMINISTRATIVOS;9;DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO;1;DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO;99;OTROS DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO;1895003;1895003;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;2;DERECHOS Y TASAS ADMINISTRATIVOS;10;OTROS DERECHOS ADMINISTRATIVOS;1;OTROS DERECHOS ADMINISTRATIVOS;5;CERTIFICACIONES DIVERSAS;47587;47587;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;2;DERECHOS Y TASAS ADMINISTRATIVOS;10;OTROS DERECHOS ADMINISTRATIVOS;1;OTROS DERECHOS ADMINISTRATIVOS;11;ACCESO A LA INFORMACION PUBLICA;1393;1393;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;3;VENTA DE SERVICIOS;2;SERVICIOS DE TRANSPORTE Y COMUNICACIONES;2;SERVICIOS DE COMUNICACIONES;1;SERVICIO TELEFONICO Y FAX;31769;31769;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;3;VENTA DE SERVICIOS;2;SERVICIOS DE TRANSPORTE Y COMUNICACIONES;2;SERVICIOS DE COMUNICACIONES;99;OTROS SERVICIOS DE COMUNICACIONES;142874;142874;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;3;VENTA DE SERVICIOS;5;INGRESO POR ALQUILERES;1;INMUEBLES Y TERRENOS;1;EDIFICIOS E INSTALACIONES;2008874;2008874;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;3;VENTA DE SERVICIOS;9;OTROS INGRESOS POR PRESTACION DE SERVICIOS;1;SERVICIOS POR ADMINISTRACION Y RECAUDACION;3;SERVICIOS DE ADMINISTRACION;25715;25715;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;3;VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS;3;VENTA DE SERVICIOS;9;OTROS INGRESOS POR PRESTACION DE SERVICIOS;2;OTROS INGRESOS POR PRESTACION DE SERVICIOS;25;SUMINISTRO Y ACCESO A LA INFORMACION;414;414;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;5;OTROS INGRESOS;1;RENTAS DE LA PROPIEDAD;1;RENTAS DE LA PROPIEDAD FINANCIERA;1;INTERESES;1;INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES;1248574;1248574;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;5;OTROS INGRESOS;1;RENTAS DE LA PROPIEDAD;1;RENTAS DE LA PROPIEDAD FINANCIERA;4;OTROS INTERESES;99;OTROS INTERESES;1422;1422;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;5;OTROS INGRESOS;2;MULTAS Y SANCIONES NO TRIBUTARIAS;1;MULTAS Y SANCIONES NO TRIBUTARIAS;6;OTRAS MULTAS;99;OTRAS MULTAS;3123;3123;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;5;OTROS INGRESOS;2;MULTAS Y SANCIONES NO TRIBUTARIAS;2;SANCIONES;1;SANCIONES ADMINISTRATIVAS;99;OTRAS SANCIONES;37324;37324;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;5;OTROS INGRESOS;5;INGRESOS DIVERSOS;1;INGRESOS DIVERSOS;4;OTROS INGRESOS DIVERSOS;99;OTROS INGRESOS DIVERSOS;2064489;2064489;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;6;VENTA DE ACTIVOS NO FINANCIEROS;5;VENTA DE ACTIVOS NO PRODUCIDOS;1;VENTA DE ACTIVOS NO PRODUCIDOS;1;VENTA DE TERRENOS;2;TERRENOS RURALES;11472;11472;0
2023;1;17;ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES;500108;0;COMITE DE ADMINISTRACIÓN DE LA ZONA FRANCA Y ZONA COMERCIAL DE TACNA - ZOFRATACNA;23;TACNA;1;TACNA;1;TACNA;2;RECURSOS DIRECTAMENTE RECAUDADOS;9;RECURSOS DIRECTAMENTE RECAUDADOS;0;RECURSOS ORDINARIOS;9;SALDOS DE BALANCE;1;SALDOS DE BALANCE;1;SALDOS DE BALANCE;1;SALDOS DE BALANCE;1;SALDOS DE BALANCE;2166100;2166100;0
